season,number,position,driverId,constructorId,Q1,Q2,Q3
2019,10,17,gasly,red_bull,1:23.020,,
2019,55,18,sainz,mclaren,1:23.084,,
2019,63,19,russell,williams,1:24.360,,
2019,88,20,kubica,williams,1:26.067,,
2019,16,1,leclerc,ferrari,1:28.495,1:28.046,1:27.866
2019,5,2,vettel,ferrari,1:28.733,1:28.356,1:28.160
2019,44,3,hamilton,mercedes,1:29.262,1:28.578,1:28.190
2019,77,4,bottas,mercedes,1:29.498,1:28.830,1:28.256
2019,33,5,max_verstappen,red_bull,1:29.579,1:29.109,1:28.752
2019,20,6,kevin_magnussen,haas,1:29.532,1:29.017,1:28.757
2019,55,7,sainz,mclaren,1:29.528,1:29.055,1:28.813
2019,8,8,grosjean,haas,1:29.688,1:29.249,1:29.015
2019,7,9,raikkonen,alfa,1:29.959,1:29.471,1:29.022
2019,4,10,norris,mclaren,1:29.381,1:29.258,1:29.043
2020,77,1,bottas,mercedes,1:04.111,1:03.015,1:02.939
2020,44,2,hamilton,mercedes,1:04.198,1:03.096,1:02.951
2020,33,3,max_verstappen,red_bull,1:04.024,1:04.000,1:03.477
2020,4,4,norris,mclaren,1:04.606,1:03.819,1:03.626
2020,23,5,albon,red_bull,1:04.661,1:03.746,1:03.868
2020,11,6,perez,racing_point,1:04.543,1:03.860,1:03.868
2020,16,7,leclerc,ferrari,1:04.500,1:04.041,1:03.923
2020,55,8,sainz,mclaren,1:04.537,1:03.971,1:03.971
2020,18,9,stroll,racing_point,1:04.309,1:03.955,1:04.029
2020,3,10,ricciardo,renault,1:04.556,1:04.023,1:04.239
2020,5,11,vettel,ferrari,1:04.554,1:04.206,
2020,10,12,gasly,alphatauri,1:04.603,1:04.305,
2020,26,13,kvyat,alphatauri,1:05.031,1:04.431,
2020,31,14,ocon,renault,1:04.933,1:04.643,
2020,8,15,grosjean,haas,1:05.094,1:04.691,
2020,20,16,kevin_magnussen,haas,1:05.164,,
2020,63,17,russell,williams,1:05.167,,
2020,99,18,giovinazzi,alfa,1:05.175,,
2020,7,19,raikkonen,alfa,1:05.224,,
2020,6,20,latifi,williams,1:05.757,,
2020,44,1,hamilton,mercedes,1:18.188,1:17.825,1:19.273
2020,33,2,max_verstappen,red_bull,1:18.297,1:17.938,1:20.489
2020,55,3,sainz,mclaren,1:18.590,1:18.836,1:20.671
2020,77,4,bottas,mercedes,1:18.791,1:18.657,1:20.701
2020,31,5,ocon,renault,1:19.687,1:18.764,1:20.922
2020,4,6,norris,mclaren,1:18.504,1:18.448,1:20.925
2020,23,7,albon,red_bull,1:20.882,1:19.014,1:21.011
2020,10,8,gasly,alphatauri,1:20.192,1:18.744,1:21.028
2020,3,9,ricciardo,renault,1:19.662,1:19.229,1:21.192
2020,5,10,vettel,ferrari,1:20.243,1:19.545,1:21.651
2021,33,1,max_verstappen,red_bull,1:30.499,1:30.318,1:28.997
2021,44,2,hamilton,mercedes,1:30.617,1:30.085,1:29.385
2021,77,3,bottas,mercedes,1:31.200,1:30.186,1:29.586
2021,16,4,leclerc,ferrari,1:30.691,1:30.010,1:29.678
2021,10,5,gasly,alphatauri,1:30.848,1:30.513,1:29.809
2021,3,6,ricciardo,mclaren,1:30.795,1:30.222,1:29.927
2021,4,7,norris,mclaren,1:30.902,1:30.099,1:29.974
2021,55,8,sainz,ferrari,1:31.653,1:30.009,1:30.215
2021,14,9,alonso,alpine,1:30.863,1:30.595,1:30.249
2021,18,10,stroll,aston_martin,1:31.261,1:30.624,1:30.601
2021,11,11,perez,red_bull,1:31.165,1:30.659,
2021,99,12,giovinazzi,alfa,1:30.998,1:30.708,
2021,22,13,tsunoda,alphatauri,1:30.607,1:31.203,
2021,7,14,raikkonen,alfa,1:31.547,1:31.238,
2021,63,15,russell,williams,1:31.316,1:33.430,
2021,31,16,ocon,alpine,1:31.724,,
2021,6,17,latifi,williams,1:31.936,,
2021,5,18,vettel,aston_martin,1:32.056,,
2021,47,19,mick_schumacher,haas,1:32.449,,
2021,9,20,mazepin,haas,1:33.273,,
2021,44,1,hamilton,mercedes,1:14.823,1:14.817,1:14.411
2021,11,2,perez,red_bull,1:15.395,1:14.716,1:14.446
2021,33,3,max_verstappen,red_bull,1:15.109,1:14.884,1:14.498
2021,16,4,leclerc,ferrari,1:15.413,1:14.808,1:14.740
2021,10,5,gasly,alphatauri,1:15.548,1:14.927,1:14.790
2021,3,6,ricciardo,mclaren,1:15.669,1:15.033,1:14.826
2021,4,7,norris,mclaren,1:15.009,1:14.718,1:14.875
2021,77,8,bottas,mercedes,1:14.672,1:14.905,1:14.898
2021,31,9,ocon,alpine,1:15.385,1:15.117,1:15.210
2021,18,10,stroll,aston_martin,1:15.522,1:15.138,
2022,16,1,leclerc,ferrari,1:31.471,1:30.932,1:30.558
2022,1,2,max_verstappen,red_bull,1:31.785,1:30.757,1:30.681
2022,55,3,sainz,ferrari,1:31.567,1:30.787,1:30.687
2022,11,4,perez,red_bull,1:32.311,1:31.008,1:30.921
2022,44,5,hamilton,mercedes,1:32.285,1:31.048,1:31.238
2022,77,6,bottas,alfa,1:31.919,1:31.717,1:31.560
2022,20,7,kevin_magnussen,haas,1:31.955,1:31.461,1:31.808
2022,14,8,alonso,alpine,1:32.346,1:31.621,1:32.195
2022,63,9,russell,mercedes,1:32.269,1:31.252,1:32.216
2022,10,10,gasly,alphatauri,1:32.096,1:31.635,1:32.338
2022,31,11,ocon,alpine,1:32.041,1:31.782,
2022,47,12,mick_schumacher,haas,1:32.380,1:31.998,
2022,4,13,norris,mclaren,1:32.239,1:32.008,
2022,23,14,albon,williams,1:32.726,1:32.664,
2022,24,15,zhou,alfa,1:32.493,1:33.543,
2022,22,16,tsunoda,alphatauri,1:32.750,,
2022,27,17,hulkenberg,aston_martin,1:32.777,,
2022,3,18,ricciardo,mclaren,1:32.945,,
2022,18,19,stroll,aston_martin,1:33.032,,
2022,6,20,latifi,williams,1:33.634,,
2022,11,1,perez,red_bull,1:29.705,1:28.924,1:28.200
2022,16,2,leclerc,ferrari,1:29.039,1:28.780,1:28.225
2022,55,3,sainz,ferrari,1:28.855,1:28.686,1:28.402
2022,1,4,max_verstappen,red_bull,1:28.928,1:28.945,1:28.461
2022,31,5,ocon,alpine,1:30.093,1:29.584,1:29.068
2022,63,6,russell,mercedes,1:29.680,1:29.618,1:29.104
2022,14,7,alonso,alpine,1:29.978,1:29.295,1:29.147
2022,77,8,bottas,alfa,1:29.683,1:29.404,1:29.183
2022,10,9,gasly,alphatauri,1:29.891,1:29.418,1:29.254
2022,20,10,kevin_magnussen,haas,1:29.831,1:29.546,1:29.588
2023,1,1,max_verstappen,red_bull,1:31.295,1:30.503,1:29.708
2023,11,2,perez,red_bull,1:31.479,1:30.746,1:29.846
2023,16,3,leclerc,ferrari,1:31.094,1:30.282,1:30.000
2023,55,4,sainz,ferrari,1:30.993,1:30.515,1:30.154
2023,14,5,alonso,aston_martin,1:31.158,1:30.645,1:30.336
2023,63,6,russell,mercedes,1:31.057,1:30.507,1:30.340
2023,44,7,hamilton,mercedes,1:31.543,1:30.513,1:30.384
2023,18,8,stroll,aston_martin,1:31.184,1:31.127,1:30.836
2023,31,9,ocon,alpine,1:31.508,1:30.914,1:30.984
2023,27,10,hulkenberg,haas,1:31.204,1:30.809,
2023,4,11,norris,mclaren,1:31.652,1:31.381,
2023,77,12,bottas,alfa,1:31.504,1:31.443,
2023,24,13,zhou,alfa,1:31.615,1:31.473,
2023,22,14,tsunoda,alphatauri,1:31.400,1:32.510,
2023,23,15,albon,williams,1:31.461,,
2023,2,16,sargeant,williams,1:31.652,,
2023,20,17,kevin_magnussen,haas,1:31.892,,
2023,81,18,piastri,mclaren,1:32.101,,
2023,21,19,de_vries,alphatauri,1:32.121,,
2023,10,20,gasly,alpine,1:32.181,,
2023,11,1,perez,red_bull,1:29.244,1:28.635,1:28.265
2023,16,2,leclerc,ferrari,1:29.376,1:28.903,1:28.420
2023,14,3,alonso,aston_martin,1:29.298,1:28.757,1:28.730
2023,63,4,russell,mercedes,1:29.592,1:29.132,1:28.857
2023,55,5,sainz,ferrari,1:29.411,1:28.957,1:28.931
2023,18,6,stroll,aston_martin,1:29.335,1:28.962,1:28.945
2023,31,7,ocon,alpine,1:29.707,1:29.255,1:29.078
2023,44,8,hamilton,mercedes,1:29.689,1:29.374,1:29.223
2023,81,9,piastri,mclaren,1:29.706,1:29.378,1:29.243
2023,10,10,gasly,alpine,1:29.890,1:29.411,1:29.357
